date,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume,100ma
2020-07-29,375.0,380.92,374.85,380.16,22582314.0,375.0,380.92,374.85,380.16,22582314.0,380.16
2020-07-28,377.47,378.1986,372.99,373.01,25906375.0,377.47,378.1986,372.99,373.01,25906375.0,376.58500000000004
2020-07-27,374.84,379.62,373.92,379.24,30303548.0,374.84,379.62,373.92,379.24,30303548.0,377.47
2020-07-24,363.95,371.88,356.58,370.46,46359716.0,363.95,371.88,356.58,370.46,46359716.0,375.71750000000003
2020-07-23,387.9935,388.31,368.039,371.38,49251108.0,387.9935,388.31,368.039,371.38,49251108.0,374.85
2020-07-22,386.77,391.9,386.41,389.09,22250413.0,386.77,391.9,386.41,389.09,22250413.0,377.22333333333336
2020-07-21,396.69,397.0,386.97,388.0,25911459.0,396.69,397.0,386.97,388.0,25911459.0,378.7628571428572
2020-07-20,385.665,394.0,384.25,393.43,22579477.0,385.665,394.0,384.25,393.43,22579477.0,380.59625
2020-07-17,387.95,388.59,383.36,385.31,23046725.0,387.95,388.59,383.36,385.31,23046725.0,381.12
2020-07-16,386.25,389.62,383.62,386.09,27644418.0,386.25,389.62,383.62,386.09,27644418.0,381.617
2020-07-15,395.96,396.99,385.96,390.9,38299483.0,395.96,396.99,385.96,390.9,38299483.0,382.46090909090907
2020-07-14,379.36,389.02,375.51,388.23,42747341.0,379.36,389.02,375.51,388.23,42747341.0,382.9416666666666
2020-07-13,389.06,399.82,381.03,381.91,47912285.0,389.06,399.82,381.03,381.91,47912285.0,382.86230769230764
2020-07-10,381.34,383.92,378.8207,383.68,22564330.0,381.34,383.92,378.8207,383.68,22564330.0,382.92071428571427
2020-07-09,385.05,385.27,378.69,382.73,31410652.0,385.05,385.27,378.69,382.73,31410652.0,382.90799999999996
2020-07-08,376.72,381.5,376.36,381.37,29272970.0,376.72,381.5,376.36,381.37,29272970.0,382.81187499999993
2020-07-07,375.41,378.62,372.23,372.69,28106114.0,375.41,378.62,372.23,372.69,28106114.0,382.2164705882352
